product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6.4,781.4999,5.4,2.7042,1.0045,1.0022,289,289,100,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.2,5,629.4001,3.8,2.1779,0.4947,0.7033,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.1,6.5,865.9999,5.4,3.0819,0.9268,0.9627,289,281,97.23,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.9,6.7,800.2999,5.8,2.8279,0.8359,0.9143,289,283,97.92,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,6.3,787.3001,5.6,2.7432,0.5808,0.7621,289,287,99.31,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,5.9,603.8001,5.4,2.253,0.5635,0.7506,289,268,92.73,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,6.8,690.9998,6.1,2.4591,0.9962,0.9981,289,281,97.23,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,3.6,65.7,3.4,1.3688,0.5909,0.7687,289,48,16.61,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,5.8,592.3007,5.5,2.1078,0.7446,0.8629,289,281,97.23,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,4.7,342.1001,4.6,1.677,0.8084,0.8991,289,204,70.59,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,4.2,493.0997,3.5,1.7737,0.4916,0.7012,289,278,96.19,2.01515E+12,1
MCD15A3H,Lai_500m,A2002233,21/08/2002,1,6.8,787.8003,5.8,2.726,1.3597,1.1661,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,6.4,653.7,5.5,2.2619,0.7678,0.8762,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,5,451.5001,4.5,1.6125,0.3568,0.5973,289,280,96.89,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,5.8,109.7,5.6,1.1427,0.7206,0.8489,289,96,33.22,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,2.3,112.6999,2.1,0.5721,0.0442,0.2103,289,197,68.17,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,5,501.6004,4.4,1.7477,0.5809,0.7622,289,287,99.31,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,5.3,482.4004,4.7,1.6692,0.5652,0.7518,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,6.5,468.9002,6.2,1.6225,0.72,0.8485,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,3.7,223.6001,3.5,1.0072,0.3178,0.5637,289,222,76.82,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,3,236.2999,2.7,0.8531,0.1964,0.4432,289,277,95.85,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,0.7,48.6,0.6,0.3219,0.0245,0.1565,289,151,52.25,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,3,328.8994,2.7,1.1381,0.3208,0.5664,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,2.1,303.2997,1.8,1.0495,0.1218,0.349,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,1.2,200.4003,1,0.6934,0.0292,0.1709,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1.2,150.5,1,0.6659,0.0404,0.201,289,226,78.2,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.2,1.5,215.2001,1.3,0.7686,0.063,0.251,289,280,96.89,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.5,15.5,0.4,0.3229,0.0059,0.077,289,48,16.61,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.3,151,1.2,0.6509,0.0467,0.2162,289,232,80.28,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,1.3,140.7,1.1,0.6253,0.0484,0.22,289,225,77.85,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,1.4,107.6999,1.3,0.6085,0.033,0.1816,289,177,61.25,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,1,85.4,0.9,0.61,0.0362,0.1902,289,140,48.44,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,0.8,73.4,0.7,0.4993,0.0258,0.1606,289,147,50.87,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.1,1.8,105.5,1.7,0.6098,0.0586,0.242,289,173,59.86,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.1,1.1,64.7,1,0.5218,0.0369,0.192,289,124,42.91,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,1.1,50,1,0.5435,0.0531,0.2305,289,92,31.83,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,1.6,75,1.5,0.5474,0.0426,0.2065,289,137,47.4,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.1,1,60.9,0.9,0.5075,0.0332,0.1822,289,120,41.52,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.1,1.4,30,1.3,0.5769,0.0725,0.2693,289,52,17.99,2.01516E+12,F
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.1,0.9,82,0.8,0.4607,0.0283,0.1683,289,178,61.59,2.01516E+12,0.4
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.1,1.2,89.4,1.1,0.4197,0.0501,0.2239,289,213,73.7,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.1,1.1,122.3999,1,0.5856,0.0619,0.2488,289,209,72.32,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003089,30/03/2003,0.1,1.1,108.1,1,0.594,0.0423,0.2057,289,182,62.98,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.1,0.1,0.8,0,0.1,0,0,289,8,2.77,2.01516E+12,F
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.2,1.4,223.3,1.2,0.7863,0.0541,0.2327,289,284,98.27,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.1,1,170.5999,0.9,0.6071,0.0208,0.1442,289,281,97.23,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003105,15/04/2003,0.2,1.4,260.8997,1.2,0.9028,0.034,0.1845,289,289,100,2.01516E+12,1
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.3,1.8,302.9001,1.5,1.0481,0.052,0.228,289,289,100,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003113,23/04/2003,0.2,1.8,229.4,1.6,0.8465,0.0763,0.2762,289,271,93.77,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.2,2.2,334.6,2,1.1578,0.062,0.2489,289,289,100,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.4,2.3,342.3,1.9,1.1844,0.101,0.3179,289,289,100,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.3,1.7,316.4,1.4,1.0948,0.0487,0.2206,289,289,100,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.3,1.6,323,1.3,1.1176,0.0361,0.1899,289,289,100,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.4,2.8,405.9,2.4,1.4045,0.1035,0.3217,289,289,100,2.01516E+12,1.4
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.3,2.1,353.6002,1.8,1.2235,0.0669,0.2586,289,289,100,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003141,21/05/2003,0.5,3.2,420.2001,2.7,1.454,0.194,0.4405,289,289,100,2.01516E+12,1.9
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.7,2.9,460.2997,2.2,1.5927,0.1344,0.3666,289,289,100,2.01516E+12,1.5
MCD15A3H,Lai_500m,A2003149,29/05/2003,0.6,4.6,497.6003,4,1.7338,0.1861,0.4314,289,287,99.31,2.01516E+12,1.6
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.3,2.6,284.1999,2.3,1.2744,0.2063,0.4542,289,223,77.16,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003157,06/06/2003,0.2,3.8,95.1,3.6,0.6216,0.2021,0.4495,289,153,52.94,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003161,10/06/2003,0.3,3.6,348.5999,3.3,1.4229,0.427,0.6534,289,245,84.78,2.01516E+12,2.5
MCD15A3H,Lai_500m,A2003165,14/06/2003,1,6.2,723.2004,5.2,2.5024,0.7016,0.8376,289,289,100,2.01516E+12,1.9
